INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182079536,01107,Fraud,FRAUD - IMPERSONATION,A1,125,,2018-09-23 08:00:00,2018,9,Sunday,8,Part Two,ARLINGTON ST,42.34904108,-71.06951499,"(42.34904108, -71.06951499)"
I182079535,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,D14,796,,2018-10-02 09:52:00,2018,10,Tuesday,9,Part Three,HARVARD AVE,42.34966751,-71.13048678,"(42.34966751, -71.13048678)"
I182079534,01402,Vandalism,VANDALISM,B3,463,,2018-10-02 09:50:00,2018,10,Tuesday,9,Part Two,BLUE HILL AVE,42.29330376,-71.08858990,"(42.29330376, -71.08858990)"
I182079533,03301,Verbal Disputes,VERBAL DISPUTE,D14,790,,2018-10-02 09:46:00,2018,10,Tuesday,9,Part Three,BEACON ST,42.33626664,-71.14950271,"(42.33626664, -71.14950271)"
I182079532,03807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,B2,279,,2018-10-02 09:24:00,2018,10,Tuesday,9,Part Three,DUDLEY ST,42.32859700,-71.08274741,"(42.32859700, -71.08274741)"
I182079531,03301,Verbal Disputes,VERBAL DISPUTE,E5,822,,2018-10-02 09:56:00,2018,10,Tuesday,9,Part Three,GEORGETOWNE DR,42.25661385,-71.14449037,"(42.25661385, -71.14449037)"
I182079530,03301,Verbal Disputes,VERBAL DISPUTE,B2,324,,2018-10-02 09:54:00,2018,10,Tuesday,9,Part Three,INGLESIDE ST,42.31736234,-71.07724596,"(42.31736234, -71.07724596)"
I182079529,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,25,,2018-10-02 09:16:00,2018,10,Tuesday,9,Part Three,WHITE ST,42.38053192,-71.03510439,"(42.38053192, -71.03510439)"
I182079527,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,914,,2018-10-02 08:54:00,2018,10,Tuesday,8,Part Two,COLONEL MICHAEL J. MCDONO,42.32790482,-71.05305583,"(42.32790482, -71.05305583)"
I182079526,03410,Towed,TOWED MOTOR VEHICLE,D14,758,,2018-10-02 08:07:00,2018,10,Tuesday,8,Part Three,MONTFERN AVE,42.35105269,-71.16451165,"(42.35105269, -71.16451165)"
I182079525,01402,Vandalism,VANDALISM,B2,588,,2018-10-02 08:17:00,2018,10,Tuesday,8,Part Two,GURNEY ST,42.33201285,-71.09598982,"(42.33201285, -71.09598982)"
I182079524,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,309,,2018-10-02 08:56:00,2018,10,Tuesday,8,Part Three,DALE ST,42.32130010,-71.08567786,"(42.32130010, -71.08567786)"
I182079523,03106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,D4,158,,2018-10-02 08:49:00,2018,10,Tuesday,8,Part Three,TREMONT ST,42.34278722,-71.07382560,"(42.34278722, -71.07382560)"
I182079522,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,289,,2018-10-01 10:50:00,2018,10,Monday,10,Part Two,MALCOLM X BLVD,42.33123776,-71.09140736,"(42.33123776, -71.09140736)"
I182079521,00616,Larceny,LARCENY THEFT OF BICYCLE,E5,822,,2018-10-01 22:30:00,2018,10,Monday,22,Part One,GEORGETOWNE DR,42.25943465,-71.14798064,"(42.25943465, -71.14798064)"
I182079520,00301,Robbery,ROBBERY - STREET,B2,280,,2018-10-02 08:05:00,2018,10,Tuesday,8,Part One,DUDLEY ST,42.32863172,-71.08309899,"(42.32863172, -71.08309899)"
I182079518,03115,Investigate Person,INVESTIGATE PERSON,D4,623,,2018-10-02 07:28:00,2018,10,Tuesday,7,Part Three,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I182079518,03207,Property Found,PROPERTY - FOUND,D4,623,,2018-10-02 07:28:00,2018,10,Tuesday,7,Part Three,COMMONWEALTH AVE,42.34877575,-71.09606805,"(42.34877575, -71.09606805)"
I182079517,03115,Investigate Person,INVESTIGATE PERSON,E18,556,,2018-10-01 07:00:00,2018,10,Monday,7,Part Three,CANTERBURY ST,42.27804610,-71.12257569,"(42.27804610, -71.12257569)"
I182079516,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,378,,2018-10-02 01:55:00,2018,10,Tuesday,1,Part One,OAKTON AVE,42.28676940,-71.05318589,"(42.28676940, -71.05318589)"
I182079516,01402,Vandalism,VANDALISM,C11,378,,2018-10-02 01:55:00,2018,10,Tuesday,1,Part Two,OAKTON AVE,42.28676940,-71.05318589,"(42.28676940, -71.05318589)"
I182079515,03301,Verbal Disputes,VERBAL DISPUTE,B3,943,,2018-10-02 07:53:00,2018,10,Tuesday,7,Part Three,WOODRUFF WAY,42.27662691,-71.08123973,"(42.27662691, -71.08123973)"
I182079514,01415,Vandalism,GRAFFITI,D14,794,,2018-10-02 07:49:00,2018,10,Tuesday,7,Part Two,BRIGHTON AVE,42.35315120,-71.13385986,"(42.35315120, -71.13385986)"
I182079513,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,224,,2018-09-30 19:00:00,2018,9,Sunday,19,Part One,P ST,42.33620256,-71.02718960,"(42.33620256, -71.02718960)"
I182079512,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,102,,2018-10-01 19:00:00,2018,10,Monday,19,Part Two,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
I182079511,03301,Verbal Disputes,VERBAL DISPUTE,B2,318,,2018-10-02 06:55:00,2018,10,Tuesday,6,Part Three,BROOKLEDGE ST,42.30956305,-71.08990197,"(42.30956305, -71.08990197)"
I182079510,00301,Robbery,ROBBERY - STREET,C11,403,,2018-10-02 06:40:00,2018,10,Tuesday,6,Part One,FULLER ST,42.28248068,-71.06981187,"(42.28248068, -71.06981187)"
I182079508,03810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING �BICYCLE - INJURY,B2, ,,2018-10-02 06:45:00,2018,10,Tuesday,6,Part Three,BLUE HILL AVE,,,"(0.00000000, 0.00000000)"
I182079506,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,494,,2018-10-02 06:37:00,2018,10,Tuesday,6,Part Three,ELM ST,42.25951760,-71.11893273,"(42.25951760, -71.11893273)"
I182079504,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,429,,2018-10-02 06:50:00,2018,10,Tuesday,6,Part One,THEODORE ST,42.28406985,-71.08824920,"(42.28406985, -71.08824920)"
I182079503,00301,Robbery,ROBBERY - STREET,C11,253,,2018-10-02 06:18:00,2018,10,Tuesday,6,Part One,BEACH ST,42.30178949,-71.05514183,"(42.30178949, -71.05514183)"
I182079502,00381,Robbery,ROBBERY - CAR JACKING,C11,353,,2018-10-02 00:00:00,2018,10,Tuesday,0,Part One,MILL ST,42.29921088,-71.05203766,"(42.29921088, -71.05203766)"
I182079500,03410,Towed,TOWED MOTOR VEHICLE,D14,793,,2018-10-02 05:48:00,2018,10,Tuesday,5,Part Three,BRAINERD RD,42.34654105,-71.13514595,"(42.34654105, -71.13514595)"
I182079498,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4, ,,2018-10-02 03:18:00,2018,10,Tuesday,3,Part Three,BOYLSTON ST,,,"(0.00000000, 0.00000000)"
I182079497,00301,Robbery,ROBBERY - STREET,A1,101,,2018-10-02 02:45:00,2018,10,Tuesday,2,Part One,INDIA ST,42.35847666,-71.05324087,"(42.35847666, -71.05324087)"
I182079496,03301,Verbal Disputes,VERBAL DISPUTE,B3,428,,2018-10-02 00:58:00,2018,10,Tuesday,0,Part Three,WILDWOOD ST,42.28236818,-71.08972869,"(42.28236818, -71.08972869)"
I182079495,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1, ,,2018-10-01 23:41:00,2018,10,Monday,23,Part Three,AVERY ST,,,"(0.00000000, 0.00000000)"
I182079494,03410,Towed,TOWED MOTOR VEHICLE,C11,361,,2018-10-02 02:39:00,2018,10,Tuesday,2,Part Three,MELVILLE AVE,42.29481540,-71.06617869,"(42.29481540, -71.06617869)"
I182079492,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,804,,2018-10-02 01:54:00,2018,10,Tuesday,1,Part Three,ETNA ST,42.35545204,-71.14632877,"(42.35545204, -71.14632877)"
I182079491,03301,Verbal Disputes,VERBAL DISPUTE,B3,445,,2018-10-02 00:06:00,2018,10,Tuesday,0,Part Three,GREENWOOD ST,42.30007731,-71.07990164,"(42.30007731, -71.07990164)"
I182079488,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C6,192,,2018-09-21 08:00:00,2018,9,Friday,8,Part One,CARPENTER ST,42.32898932,-71.05630174,"(42.32898932, -71.05630174)"
I182079487,00562,Other Burglary,BURGLARY - OTHER - NO FORCE,D14,796,,2018-10-02 01:01:00,2018,10,Tuesday,1,Part One,BRIGHTON AVE,42.35283155,-71.13114273,"(42.35283155, -71.13114273)"
I182079486,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D4,617,,2018-10-02 00:30:00,2018,10,Tuesday,0,Part Two,AGASSIZ RD,42.34321778,-71.09453163,"(42.34321778, -71.09453163)"
I182079486,03125,Warrant Arrests,WARRANT ARREST,D4,617,,2018-10-02 00:30:00,2018,10,Tuesday,0,Part Three,AGASSIZ RD,42.34321778,-71.09453163,"(42.34321778, -71.09453163)"
I182079485,03503,Missing Person Located,MISSING PERSON - NOT REPORTED - LOCATED,B2,304,,2018-10-02 00:11:00,2018,10,Tuesday,0,Part Three,WASHINGTON ST,42.31943966,-71.09467467,"(42.31943966, -71.09467467)"
I182079483,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,75,,2018-10-02 00:09:00,2018,10,Tuesday,0,Part One,CAUSEWAY ST,42.36497550,-71.06204400,"(42.36497550, -71.06204400)"
I182079482,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,657,,2018-10-01 23:38:00,2018,10,Monday,23,Part Two,CENTRE ST,42.30098889,-71.12708146,"(42.30098889, -71.12708146)"
I182079481,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,657,,2018-10-01 23:30:00,2018,10,Monday,23,Part One,CENTRE ST,42.30098889,-71.12708146,"(42.30098889, -71.12708146)"
I182079480,02647,Other,THREATS TO DO BODILY HARM,D4,134,,2018-10-02 00:18:00,2018,10,Tuesday,0,Part Two,DARTMOUTH ST,42.35029374,-71.07744671,"(42.35029374, -71.07744671)"
I182079479,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,494,,2018-10-01 23:55:00,2018,10,Monday,23,Part Two,RIVER ST,42.25940183,-71.11731570,"(42.25940183, -71.11731570)"
I182079475,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,235,,2018-10-01 23:02:00,2018,10,Monday,23,Part Two,DORCHESTER AVE,42.32137427,-71.05679486,"(42.32137427, -71.05679486)"
I182079473,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,270,,2018-10-01 20:30:00,2018,10,Monday,20,Part One,HARRISON AVE,42.33401829,-71.07638124,"(42.33401829, -71.07638124)"
I182079472,03201,Property Lost,PROPERTY - LOST,C11,347,,2018-10-01 11:37:00,2018,10,Monday,11,Part Three,DORCHESTER AVE,42.30636007,-71.05870799,"(42.30636007, -71.05870799)"
I182079471,03301,Verbal Disputes,VERBAL DISPUTE,B3,442,,2018-10-01 22:30:00,2018,10,Monday,22,Part Three,HELEN ST,42.29307889,-71.08054237,"(42.29307889, -71.08054237)"
I182079470,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2, ,,2018-10-01 22:27:00,2018,10,Monday,22,Part Two,CALUMET ST,,,"(0.00000000, 0.00000000)"
I182079469,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,,2018-10-01 22:06:06,2018,10,Monday,22,Part Three,,42.34729751,-71.08773575,"(42.34729751, -71.08773575)"
I182079468,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B2,328,,2018-10-01 22:08:00,2018,10,Monday,22,Part Two,CEYLON ST,42.31082341,-71.07267019,"(42.31082341, -71.07267019)"
I182079468,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,328,,2018-10-01 22:08:00,2018,10,Monday,22,Part Two,CEYLON ST,42.31082341,-71.07267019,"(42.31082341, -71.07267019)"
I182079468,01503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",B2,328,,2018-10-01 22:08:00,2018,10,Monday,22,Part Two,CEYLON ST,42.31082341,-71.07267019,"(42.31082341, -71.07267019)"
I182079467,02647,Other,THREATS TO DO BODILY HARM,C11, ,,2018-10-01 17:30:00,2018,10,Monday,17,Part Two,TREMLETT ST,,,"(0.00000000, 0.00000000)"
I182079466,03114,Investigate Property,INVESTIGATE PROPERTY,D4,160,,2018-10-01 22:14:00,2018,10,Monday,22,Part Three,TREMONT ST,42.34414013,-71.07130519,"(42.34414013, -71.07130519)"
I182079464,01402,Vandalism,VANDALISM,B2,611,,2018-08-31 16:30:00,2018,8,Friday,16,Part Two,MISSION PARK DR,42.33378250,-71.10934344,"(42.33378250, -71.10934344)"
I182079462,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,624,,2018-10-01 21:57:00,2018,10,Monday,21,Part Two,LANSDOWNE ST,42.34717363,-71.09644390,"(42.34717363, -71.09644390)"
I182079461,01402,Vandalism,VANDALISM,B2,328,,2018-10-01 21:35:00,2018,10,Monday,21,Part Two,COLUMBIA RD,42.30876959,-71.07460717,"(42.30876959, -71.07460717)"
I182079460,02914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,B3,450,,2018-09-30 22:00:00,2018,9,Sunday,22,Part Two,WHITFIELD ST,42.29276044,-71.07486603,"(42.29276044, -71.07486603)"
I182079459,03114,Investigate Property,INVESTIGATE PROPERTY,C6, ,,2018-10-01 19:26:00,2018,10,Monday,19,Part Three,GENERAL WILLIAM H DEVINE ,,,"(0.00000000, 0.00000000)"
I182079458,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",E18,486,,2018-10-01 21:44:57,2018,10,Monday,21,Part Three,RAINIER RD,42.26697113,-71.10226972,"(42.26697113, -71.10226972)"
I182079457,02101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,D4, ,,2018-10-01 21:36:00,2018,10,Monday,21,Part Two,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I182079457,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,D4, ,,2018-10-01 21:36:00,2018,10,Monday,21,Part Two,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I182079457,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,,2018-10-01 21:36:00,2018,10,Monday,21,Part Three,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I182079456,03811,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,C6, ,,2018-10-01 20:47:00,2018,10,Monday,20,Part Three,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
I182079455,03007,Medical Assistance,SUDDEN DEATH,D14,791,,2018-10-01 19:12:00,2018,10,Monday,19,Part Three,ALLSTON ST,42.34438811,-71.14058580,"(42.34438811, -71.14058580)"
I182079454,03410,Towed,TOWED MOTOR VEHICLE,C6,187,,2018-10-01 21:12:00,2018,10,Monday,21,Part Three,HOWELL ST,42.32516265,-71.05817646,"(42.32516265, -71.05817646)"
I182079453,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,563,,2018-10-01 20:12:00,2018,10,Monday,20,Part Three,FAWNDALE RD,42.28906908,-71.12116753,"(42.28906908, -71.12116753)"
I182079452,03208,Property Lost,PROPERTY - MISSING,E18,516,,2018-10-01 20:53:00,2018,10,Monday,20,Part Three,TRUMAN PKWY,42.25188297,-71.11915243,"(42.25188297, -71.11915243)"
I182079451,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,377,,2018-10-01 11:30:00,2018,10,Monday,11,Part Three,ASHMONT ST,42.28912469,-71.05218154,"(42.28912469, -71.05218154)"
I182079450,03115,Investigate Person,INVESTIGATE PERSON,B3,446,,2018-10-01 21:11:00,2018,10,Monday,21,Part Three,VASSAR ST,42.29992198,-71.07756830,"(42.29992198, -71.07756830)"
I182079449,02629,Harassment,HARASSMENT,A1,84,,2018-09-21 07:30:00,2018,9,Friday,7,Part Two,PARMENTER ST,42.36407996,-71.05544250,"(42.36407996, -71.05544250)"
I182079448,02006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,C11,363,,2018-10-01 20:08:00,2018,10,Monday,20,Part Two,WHITTEN ST,42.29301407,-71.06084412,"(42.29301407, -71.06084412)"
I182079445,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,794,,2018-10-01 20:04:00,2018,10,Monday,20,Part Two,COMMONWEALTH AVE,42.35007201,-71.13202926,"(42.35007201, -71.13202926)"
I182079444,00311,Robbery,ROBBERY - COMMERCIAL,D14,783,,2018-10-01 20:19:00,2018,10,Monday,20,Part One,COMMONWEALTH AVE,42.34888559,-71.14007361,"(42.34888559, -71.14007361)"
I182079444,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D14,783,,2018-10-01 20:19:00,2018,10,Monday,20,Part Two,COMMONWEALTH AVE,42.34888559,-71.14007361,"(42.34888559, -71.14007361)"
I182079443,00801,Simple Assault,ASSAULT - SIMPLE,D4,168,,2018-10-01 20:01:00,2018,10,Monday,20,Part Two,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
I182079443,00613,Larceny,LARCENY SHOPLIFTING,D4,168,,2018-10-01 20:01:00,2018,10,Monday,20,Part One,WASHINGTON ST,42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
I182079442,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,222,,2018-09-29 08:45:00,2018,9,Saturday,8,Part One,E SECOND ST,42.33730678,-71.03646955,"(42.33730678, -71.03646955)"
I182079441,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY �DAMAGE,C11,347,,2018-10-01 19:58:00,2018,10,Monday,19,Part Three,ADAMS ST,42.30537848,-71.06151356,"(42.30537848, -71.06151356)"
I182079440,02647,Other,THREATS TO DO BODILY HARM,D4,170,,2018-10-01 18:00:00,2018,10,Monday,18,Part Two,WORCESTER ST,42.33805954,-71.07636952,"(42.33805954, -71.07636952)"
I182079440,01402,Vandalism,VANDALISM,D4,170,,2018-10-01 18:00:00,2018,10,Monday,18,Part Two,WORCESTER ST,42.33805954,-71.07636952,"(42.33805954, -71.07636952)"
I182079439,00619,Larceny,LARCENY ALL OTHERS,D4,156,,2018-10-01 20:24:00,2018,10,Monday,20,Part One,SHAWMUT AVE,42.33827462,-71.07662934,"(42.33827462, -71.07662934)"
I182079438,03201,Property Lost,PROPERTY - LOST,C11,394,,2018-10-01 19:51:00,2018,10,Monday,19,Part Three,DORCHESTER AVE,42.28526024,-71.06444063,"(42.28526024, -71.06444063)"
I182079437,02660,Other,OTHER OFFENSE,A1,102,,2018-10-01 19:40:00,2018,10,Monday,19,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182079437,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1,102,,2018-10-01 19:40:00,2018,10,Monday,19,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182079437,01503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",A1,102,,2018-10-01 19:40:00,2018,10,Monday,19,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182079437,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,102,,2018-10-01 19:40:00,2018,10,Monday,19,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I182079436,00361,Robbery,ROBBERY - OTHER,A7,19,,2018-10-01 19:43:00,2018,10,Monday,19,Part One,BENNINGTON ST,42.37803936,-71.03046170,"(42.37803936, -71.03046170)"
I182079435,02610,Other,TRESPASSING,B2,179,,2018-10-01 17:28:00,2018,10,Monday,17,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182079434,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13, ,,2018-10-01 16:00:00,2018,10,Monday,16,Part Three,WALNUT PARK,,,"(0.00000000, 0.00000000)"
I182079433,03205,License Plate Related Incidents,M/V PLATES - LOST,A15,900,,2018-09-30 19:00:00,2018,9,Sunday,19,Part Three,POLK ST,42.37994025,-71.06060665,"(42.37994025, -71.06060665)"
I182079432,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,177,,2018-10-01 13:00:00,2018,10,Monday,13,Part Three,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
I182079430,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C11,366,,2018-10-01 18:30:00,2018,10,Monday,18,Part Three,ADAMS ST,42.29108353,-71.05692998,"(42.29108353, -71.05692998)"
I182079429,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,110,,2018-10-01 18:44:00,2018,10,Monday,18,Part Three,OLIVER ST,42.35523656,-71.05205098,"(42.35523656, -71.05205098)"
I182079428,03115,Investigate Person,INVESTIGATE PERSON,B2,282,,2018-10-01 19:23:00,2018,10,Monday,19,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182079427,03114,Investigate Property,INVESTIGATE PROPERTY,B2,282,,2018-10-01 19:22:00,2018,10,Monday,19,Part Three,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
I182079426,02647,Other,THREATS TO DO BODILY HARM,A1,115,,2018-10-01 18:39:00,2018,10,Monday,18,Part Two,LINCOLN ST,42.35131763,-71.05838367,"(42.35131763, -71.05838367)"
I182079426,02610,Other,TRESPASSING,A1,115,,2018-10-01 18:39:00,2018,10,Monday,18,Part Two,LINCOLN ST,42.35131763,-71.05838367,"(42.35131763, -71.05838367)"
I182079425,03301,Verbal Disputes,VERBAL DISPUTE,E18,536,,2018-10-01 18:22:00,2018,10,Monday,18,Part Three,DIETZ RD,42.25303287,-71.14128853,"(42.25303287, -71.14128853)"
I182079424,03170,Other,INTIMIDATING WITNESS,A7,28,,2018-10-01 19:20:00,2018,10,Monday,19,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182079423,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,283,,2018-10-01 15:30:00,2018,10,Monday,15,Part One,HUNTINGTON AVE,42.34044966,-71.08845935,"(42.34044966, -71.08845935)"
I182079421,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,D4,626,,2018-10-01 18:41:00,2018,10,Monday,18,Part Two,,,,"(0.00000000, 0.00000000)"
I182079421,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D4,626,,2018-10-01 18:41:00,2018,10,Monday,18,Part Two,,,,"(0.00000000, 0.00000000)"
I182079420,03301,Verbal Disputes,VERBAL DISPUTE,E13,643,,2018-10-01 18:30:00,2018,10,Monday,18,Part Three,BREWER ST,42.31124073,-71.11650949,"(42.31124073, -71.11650949)"
I182079419,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E5,555,,2018-10-01 18:27:00,2018,10,Monday,18,Part One,WHITFORD ST,42.27797284,-71.12520155,"(42.27797284, -71.12520155)"
I182079418,02647,Other,THREATS TO DO BODILY HARM,C11,337,,2018-10-01 18:10:00,2018,10,Monday,18,Part Two,BOWDOIN ST,42.30369670,-71.07104897,"(42.30369670, -71.07104897)"
I182079416,01402,Vandalism,VANDALISM,E13,643,,2018-09-29 18:00:00,2018,9,Saturday,18,Part Two,CENTRE ST,42.31010036,-71.11517450,"(42.31010036, -71.11517450)"
I182079415,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,524,,2018-10-01 18:00:00,2018,10,Monday,18,Part One,BADGER RD,42.24159827,-71.12524470,"(42.24159827, -71.12524470)"
I182079414,03007,Medical Assistance,SUDDEN DEATH,E13,607,,2018-10-01 18:04:00,2018,10,Monday,18,Part Three,EVERGREEN ST,42.32423224,-71.11070231,"(42.32423224, -71.11070231)"
I182079412,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,A1,77,,2018-10-01 18:44:00,2018,10,Monday,18,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182079411,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,130,,2018-10-01 13:00:00,2018,10,Monday,13,Part One,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I182079410,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,117,,2018-10-01 17:46:00,2018,10,Monday,17,Part One,STUART ST,42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
I182079409,03202,Property Found,PROPERTY - LOST THEN LOCATED,A1,61,,2018-10-01 05:05:00,2018,10,Monday,5,Part Three,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
I182079408,00613,Larceny,LARCENY SHOPLIFTING,B3,406,,2018-10-01 17:47:00,2018,10,Monday,17,Part One,RIVER ST,42.27130225,-71.07442362,"(42.27130225, -71.07442362)"
I182079406,03205,License Plate Related Incidents,M/V PLATES - LOST,C11,356,,2018-10-01 18:19:00,2018,10,Monday,18,Part Three,GENEVA AVE,42.29848866,-71.06313294,"(42.29848866, -71.06313294)"
I182079405,03115,Investigate Person,INVESTIGATE PERSON,B3,439,,2018-10-01 17:42:00,2018,10,Monday,17,Part Three,AMES ST,42.29005880,-71.08271513,"(42.29005880, -71.08271513)"
I182079404,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,434,,2018-10-01 18:15:00,2018,10,Monday,18,Part One,CAPEN ST,42.28387658,-71.08099354,"(42.28387658, -71.08099354)"
I182079403,03115,Investigate Person,INVESTIGATE PERSON,D4,152,,2018-10-01 16:56:00,2018,10,Monday,16,Part Three,TREMONT ST,42.34316129,-71.07313460,"(42.34316129, -71.07313460)"
I182079402,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1,117,,2018-10-01 18:02:00,2018,10,Monday,18,Part Two,BOYLSTON ST,42.35231190,-71.06370510,"(42.35231190, -71.06370510)"
I182079402,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A1,117,,2018-10-01 18:02:00,2018,10,Monday,18,Part Two,BOYLSTON ST,42.35231190,-71.06370510,"(42.35231190, -71.06370510)"
I182079401,03301,Verbal Disputes,VERBAL DISPUTE,B3,466,,2018-10-01 17:22:00,2018,10,Monday,17,Part Three,BLUE HILL AVE,42.28302721,-71.09197317,"(42.28302721, -71.09197317)"
I182079400,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,627,,2018-09-10 16:00:00,2018,9,Monday,16,Part One,BROOKLINE AVE,42.34410718,-71.10180260,"(42.34410718, -71.10180260)"
